image,text,track,width_px,height_px,source,label_source
images/21c071cd_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,167,90,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/21c071cd_21_DL5SBW7737.jpg,DL5SBW7737,21,145,39,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/21c071cd_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/21c071cd_58_UP13AY3893.jpg,UP13AY3893,58,171,57,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/3aecf93c_154_UP13IAY3893.jpg,UP13AY3893,154,171,57,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/3aecf93c_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,170,91,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/3aecf93c_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/3aecf93c_93_DL3SBW7737.jpg,DL5SBW7737,93,145,39,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/43be6fca_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,167,90,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/43be6fca_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/499aeaa6_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,167,90,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/499aeaa6_2_DL14CE5987.jpg,DL14CE5987,2,276,143,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_157_HR26CC2083.jpg,HR26CC2083,157,251,151,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_183_DL13OA2927.jpg,DL13CA2927,183,143,73,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_1_DL1CO5334.jpg,DL1CQ5334|DL1CO5334,1,170,91,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_21_DL3SBW7737.jpg,DL5SBW7737,21,145,39,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_225_DL13CA2927.jpg,DL13CA2927,225,158,86,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_240_DL13CA2927.jpg,DL13CA2927,240,168,86,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_257_UP14DK7400.jpg,UP14DM7400,257,114,58,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_257_UP14OK7400.jpg,UP14DM7400,257,151,71,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_271_DL1RTA5056.jpg,DL1RTA5056,271,180,88,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_271_TR745056.jpg,DL1RTA5056,271,129,80,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
images/4eded160_292_HR250208.jpg,HR26CC2083,292,139,55,D:/ANPR/data/crops (Delhi test video),read from the image by Claude; file-name OCR text ignored
